관광지명,주소,분류,합산 검색 수,위도,경도
제주민속오일시장,제주 제주시 오일장서길 26,시장,32764.5,33.4952969,126.4753492
휴애리자연생활공원,제주 서귀포시 신례동로 256,도시공원,32767.0,33.3085402,126.6344826
모슬포항,제주 서귀포시 하모항구로 3,자연경관(하천/해양),28228.0,33.2197332,126.2512645
송악산둘레길,제주 서귀포시,기타레저스포츠,27824.0,33.2260529,126.2669554
제주항공우주박물관,제주 서귀포시 녹차분재로 218,전시시설,30734.5,33.29407,126.29624
한라수목원,제주 제주시 수목원길 72,자연공원,26771.5,33.4687656,126.4867766
수목원길야시장,제주 제주시,시장,27738.5,33.4687656,126.4867766
한림공원,제주 제주시 한림로 3,도시공원,27959.0,33.412657,126.2608921
중문관광단지,제주 서귀포시,복합관광시설,27917.0,33.2443638,126.42249516840603
삼양해수욕장,제주 제주시,자연경관(하천/해양),26267.0,33.5304567,126.5939192
보롬왓,제주 서귀포시 번영로 2350-104,기타관광,26774.5,33.4135515,126.7525827
판포포구,제주 제주시,자연경관(하천/해양),29095.5,33.3661103,126.2002318
남원큰엉,제주 서귀포시,기타관광,24432.0,33.274080999999995,126.70658820078779
안돌오름,제주 제주시,자연경관(산),24244.0,33.4576592,126.7558318
노형수퍼마?,제주 제주시 노형로 89,기타문화관광지,36722.0,33.4757867,126.4662552
산방산탄산온천,제주 서귀포시 사계북로41번길 192,웰니스관광,34768.0,33.2482306,126.2989655
운진항,제주 서귀포시 최남단해안로 ,자연경관(하천/해양),29855.0,33.2054538,126.2647884
헬로키티아일랜드,제주 서귀포시 한창로 34,기타관광,27053.0,33.314344,126.3373973
제주항제6부두,제주 제주시 임항로 191,자연경관(하천/해양),24847.0,33.5261261,126.5437258
제주민속촌,제주 서귀포시 민속해안로 631-34,역사유적지,23499.0,33.3230668,126.8444056
약천사,제주 서귀포시 이어도로 293-28,종교성지,22877.0,33.24619475,126.44944664763742
녹산로유채꽃도로,제주 서귀포시,데이트코스,21433.0,33.4267705,126.6521762
동문재래시장,제주 제주시 관덕로14길 2,시장,290114.0,33.512268899999995,126.52762979281817
에코랜드테마파크,제주 제주시 번영로 1278-169,테마공원,51288.0,33.44757245,126.67207148117231
제주신화월드,제주 서귀포시 신화역사로304번길 139,복합관광시설,42052.5,33.3068325,126.3159087
