,특성별(1),특성별(2),2014,2014.1,2014.2,2014.3,2014.4,2014.5,2014.6,2014.7,2015,2015.1,2015.2,2015.3,2015.4,2015.5,2015.6,2015.7,2016,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2017,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2017.8,2018,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2018.8,2019,2019.1,2019.2,2019.3,2019.4,2019.5,2019.6,2019.7,2019.8
0,특성별(1),특성별(2),응답자수 (명),렌터카 (%),대절택시(가이드동반차량) (%),대중교통(버스/택시) (%),전세버스  (%),시티투어버스  (%),자전거/오토바이 (%),기타  (%),응답자수 (명),렌터카 (%),대절택시(가이드동반차량) (%),대중교통(버스/택시) (%),전세버스  (%),시티투어버스  (%),자전거/오토바이 (%),기타  (%),응답자수 (명),렌터카 (%),대절택시(가이드동반차량) (%),대중교통(버스/택시) (%),전세버스  (%),시티투어버스  (%),자전거/오토바이 (%),기타  (%),응답자수 (명),렌터카 (%),대절택시(가이드동반차량) (%),버스 (%),택시 (%),전세버스  (%),시티투어버스  (%),자전거/오토바이 (%),기타  (%),응답자수 (명),렌터카 (%),버스 (%),택시 (%),전세버스(여행사제공) (%),시티투어버스 (%),자전거 오토바이 (%),친구 및 지인차량 (%),기타 (%),응답자수 (명),렌터카 (%),버스 (%),택시 (%),전세버스(여행사제공) (%),시티투어버스 (%),자전거 오토바이 (%),친구 및 지인차량 (%),기타 (%)
20,연령별,41~50세,983,63.4,3.8,16.4,4.5,0.6,1.5,9.9,504,62.7,6.7,19.4,8.5,0.4,0.2,2.0,1213,69.2,4.2,14.8,5.2,0.3,0.5,5.8,1084,64.5,0.3,6.7,10.5,6.6,0.2,0.6,10.6,1518,86.0,2.9,2.8,0.5,0.6,0.6,2.4,4.2,1503,89.6,3.1,1.3,1.4,0.4,0.5,1.5,2.2
21,연령별,51~60세,564,54.3,3.2,19.3,5.9,0.4,2.0,15.1,267,53.9,6.4,23.6,7.9,0.4,0.0,7.9,591,62.0,6.1,17.7,6.8,1.2,0.0,6.1,564,61.7,1.6,11.9,7.9,9.0,0.6,0.6,6.7,1250,83.0,1.5,3.8,2.5,0.6,0.7,3.4,4.5,1352,89.1,1.9,1.3,2.2,0.4,0.7,1.4,3.0
22,연령별,61세 이상,119,59.7,6.7,16.0,4.2,0.8,0.8,11.8,68,54.4,5.9,26.5,2.9,0.0,1.5,8.8,185,53.1,9.9,17.9,10.5,0.6,2.0,6.1,158,54.7,1.1,11.9,10.1,9.5,0.7,0.1,11.8,1371,79.5,2.4,3.3,6.3,0.5,0.6,3.0,4.4,1469,83.4,1.7,3.0,6.0,0.9,0.5,2.0,2.5
23,방문목적별,휴가 및 순수여행,3044,68.6,3.0,15.8,2.2,0.4,2.8,7.3,2435,65.5,3.1,23.7,2.5,0.6,3.0,1.6,4811,75.6,2.6,15.6,2.8,0.3,1.0,2.1,4807,71.0,0.8,11.8,7.0,3.1,0.3,1.1,5.0,503,71.0,2.7,3.4,12.2,0.7,0.5,3.6,5.8,364,76.5,3.3,3.0,10.1,0.3,0.7,3.8,2.3
24,방문목적별,비즈니스여행,601,47.3,4.7,29.6,8.7,0.3,0.2,9.3,391,47.8,6.4,27.1,13.3,0.3,0.3,4.9,627,51.4,5.4,28.2,9.6,0.3,0.5,4.6,521,45.3,0.9,8.3,21.8,12.2,0.0,0.5,11.0,5571,84.3,3.7,3.0,3.2,0.5,0.6,1.6,3.1,5845,88.4,2.9,1.9,2.7,0.4,0.6,1.1,2.0
25,방문목적별,기타여행,367,37.9,1.9,32.4,3.8,0.5,2.7,20.4,410,27.6,1.7,31.0,22.4,1.5,0.0,15.9,551,35.6,4.3,28.8,7.2,0.7,0.6,22.8,504,33.2,0.2,16.6,13.9,15.0,0.7,1.1,19.3,405,44.4,6.4,17.5,10.8,0.0,0.0,7.3,13.5,194,45.0,10.3,16.0,15.2,1.3,0.0,4.7,7.5
26,여행형태별,개별여행,3753,64.2,2.4,20.3,1.1,0.2,2.5,9.2,2880,62.3,2.1,27.0,1.7,0.4,2.5,4.1,5557,72.0,2.2,18.9,1.2,0.3,1.0,4.4,5396,68.4,0.6,12.5,9.4,0.7,0.2,1.1,7.2,204,35.6,12.3,10.4,2.7,0.6,0.1,29.3,9.0,94,35.7,8.6,9.6,12.7,0.0,0.6,32.1,0.6
27,여행형태별,완전패키지여행,166,28.3,18.7,4.2,44.0,3.0,0.0,1.8,283,69.9,4.1,13.7,8.2,1.4,0.0,2.7,299,17.5,19.0,7.8,52.1,0.9,0.0,2.7,314,12.4,2.5,5.3,1.9,76.5,0.8,0.0,0.7,5884,83.9,4.2,4.3,0.3,0.4,0.5,3.1,3.3,5909,89.5,3.3,2.6,0.4,0.3,0.6,1.8,1.6
28,여행형태별,부분패키지여행,93,60.2,6.5,10.8,17.2,1.1,0.0,4.3,73,18.4,15.5,7.1,53.4,3.5,0.4,1.8,134,76.1,3.4,9.1,8.4,0.0,0.0,3.0,122,70.8,2.9,5.4,6.8,7.7,3.8,0.0,2.6,248,0.0,3.6,0.5,83.7,1.1,0.3,0.5,10.3,203,0.0,1.2,0.0,87.5,3.2,0.0,0.0,8.1
29,방문횟수별,1회,1148,63.2,4.9,17.4,2.1,0.3,3.5,8.7,1176,58.6,3.8,24.3,7.5,0.9,2.8,2.1,1955,70.0,3.5,18.0,4.1,0.4,1.2,2.8,1759,64.0,1.2,13.1,8.8,6.6,0.3,1.5,4.5,49,23.2,0.0,7.3,7.4,2.5,0.0,0.0,59.6,21,5.9,0.0,0.0,6.7,5.6,0.0,0.0,81.7
30,방문횟수별,2회,1051,64.3,2.9,17.6,4.4,0.7,2.4,7.7,879,57.5,3.5,24.9,7.5,1.0,2.5,3.1,1559,73.4,2.3,16.2,3.6,0.4,1.1,2.9,1557,69.4,0.5,9.9,8.7,4.8,0.5,0.8,5.4,1934,81.4,4.6,4.2,3.7,0.2,0.6,1.8,3.5,1863,88.0,3.1,2.1,3.6,0.5,0.3,0.7,1.7
31,방문횟수별,3회,658,64.3,2.4,18.8,3.3,0.0,2.1,9.0,469,62.3,1.7,24.9,5.1,0.2,2.1,3.6,953,70.9,2.7,16.7,4.5,0.4,1.0,3.9,910,66.0,0.6,11.7,9.2,5.1,0.1,1.2,6.1,2483,84.9,2.9,2.8,3.5,0.5,0.5,1.7,3.1,2546,90.3,2.3,1.6,2.2,0.5,0.5,0.7,1.9
32,방문횟수별,4회 이상,1143,59.5,1.8,23.4,3.4,0.4,1.4,9.9,712,57.6,3.2,26.3,3.8,0.3,1.1,7.7,1523,63.4,3.4,21.1,3.7,0.2,0.3,7.9,1606,62.8,0.5,12.8,9.0,3.1,0.2,0.7,10.9,813,80.0,3.8,4.3,4.5,1.1,0.6,2.3,3.5,830,83.3,3.7,3.2,4.4,0.3,1.0,1.4,2.8
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951,64.6,6.9,7.4,3.6,0.4,0.4,9.0,7.8,894,73.6,5.8,5.3,4.5,0.3,0.8,6.9,2.9
