년월,시도명,읍면동명,업종명,성별,이용자수,이용금액,거주인구,근무인구,방문인구,데이터기준일자
2020-01-01,제주시,연동,비알콜 음료점업,여성,6955,69111750,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,면세점,여성,40,22164900,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,스포츠 및 레크레이션 용품 임대업,여성,1573,183537880,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,정기 항공 운송업,여성,11741,1923248430,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,수산물 소매업,여성,53,17387000,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,용담2동,차량용 주유소 운영업,여성,4013,174057023,3636178.7,618877.33,5466426.354,2020-12-15
2020-01-01,제주시,연동,자동차 임대업,여성,578,25660860,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,기타음식료품위주종합소매업,여성,1,31000,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,기타 주점업,여성,88,20454000,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,기타 외국식 음식점업,여성,577,26308386,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,그외 기타 종합 소매업,여성,10,3420000,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,관광 민예품 및 선물용품 소매업,여성,895,28084700,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,과실 및 채소 소매업,여성,161,18892000,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,골프장 운영업,여성,102,8060000,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,마사지업,여성,9,1222000,15596659.07,1862889.878,7404723.053,2020-12-15
2020-01-01,제주시,연동,화장품 및 방향제 소매업,남성,833,51695050,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,호텔업,남성,1210,230091450,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,한식 음식점업,남성,37388,1707480033,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,"피자, 햄버거, 샌드위치 및 유사 음식점업",남성,1664,23712650,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,체인화 편의점,남성,60261,527701020,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,차량용 주유소 운영업,남성,4975,246143944,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,차량용 가스 충전업,남성,15,1232000,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,연동,전시 및 행사 대행업,남성,1187,14011900,14416816.43,1799801.492,8566799.066,2020-12-15
2020-01-01,제주시,외도동,여관업,남성,634,14080000,3651449.212,197093.412,1837113.079,2020-12-15
2020-01-01,제주시,용담2동,비알콜 음료점업,남성,5555,55409195,3282962.828,766166.576,5346450.122,2020-12-15
2020-01-01,제주시,외도동,차량용 가스 충전업,남성,662,34756756,3651449.212,197093.412,1837113.079,2020-12-15
2020-01-01,제주시,용담1동,한식 음식점업,여성,2241,96372700,2293458.802,144072.378,1567824.136,2020-12-15
2020-01-01,제주시,용담1동,중식 음식점업,여성,83,1898500,2293458.802,144072.378,1567824.136,2020-12-15
2020-01-01,제주시,용담1동,차량용 가스 충전업,여성,258,7764916,2293458.802,144072.378,1567824.136,2020-12-15
2020-01-01,제주시,용담1동,차량용 주유소 운영업,여성,862,38912558,2293458.802,144072.378,1567824.136,2020-12-15
2020-01-01,제주시,용담1동,체인화 편의점,여성,2152,18527390,2293458.802,144072.378,1567824.136,2020-12-15
2020-01-01,제주시,용담1동,택시 운송업,여성,7,66940,2293458.802,144072.378,1567824.136,2020-12-15
2020-01-01,제주시,용담1동,"피자, 햄버거, 샌드위치 및 유사 음식점업",여성,216,3181300,2293458.802,144072.378,1567824.136,2020-12-15
2020-01-01,제주시,용담1동,호텔업,여성,6,8041000,2293458.802,144072.378,1567824.136,2020-12-15
2020-01-01,제주시,용담2동,서양식 음식점업,남성,2653,54807770,3282962.828,766166.576,5346450.122,2020-12-15
2020-01-01,제주시,용담1동,화장품 및 방향제 소매업,여성,11,933000,2293458.802,144072.378,1567824.136,2020-12-15
2020-01-01,제주시,용담2동,건강보조식품 소매업,남성,4,495000,3282962.828,766166.576,5346450.122,2020-12-15
2020-01-01,제주시,용담2동,과실 및 채소 소매업,남성,821,55032660,3282962.828,766166.576,5346450.122,2020-12-15
2020-01-01,제주시,용담2동,관광 민예품 및 선물용품 소매업,남성,3952,131940250,3282962.828,766166.576,5346450.122,2020-12-15
2020-01-01,제주시,용담2동,기타 외국식 음식점업,남성,87,4593000,3282962.828,766166.576,5346450.122,2020-12-15
2020-01-01,제주시,용담2동,면세점,남성,38096,3701322388,3282962.828,766166.576,5346450.122,2020-12-15
2020-01-01,제주시,용담1동,자동차 임대업,여성,61,2796980,2293458.802,144072.378,1567824.136,2020-12-15
2020-01-01,제주시,용담1동,일식 음식점업,여성,90,9185000,2293458.802,144072.378,1567824.136,2020-12-15
2020-01-01,제주시,용담1동,일반유흥 주점업,여성,8,4450000,2293458.802,144072.378,1567824.136,2020-12-15
2020-01-01,제주시,용담1동,육류 소매업,여성,729,65797190,2293458.802,144072.378,1567824.136,2020-12-15
2020-01-01,제주시,용담1동,욕탕업,여성,9,72000,2293458.802,144072.378,1567824.136,2020-12-15
2020-01-01,제주시,용담1동,여행사업,여성,3,2485220,2293458.802,144072.378,1567824.136,2020-12-15
2020-01-01,제주시,용담1동,여관업,여성,24,2176700,2293458.802,144072.378,1567824.136,2020-12-15
2020-01-01,제주시,용담1동,스포츠 및 레크레이션 용품 임대업,여성,7,148600,2293458.802,144072.378,1567824.136,2020-12-15
2020-01-01,제주시,용담2동,수산물 소매업,남성,406,32975240,3282962.828,766166.576,5346450.122,2020-12-15
2020-01-01,제주시,용담1동,수산물 소매업,여성,30,3622500,2293458.802,144072.378,1567824.136,2020-12-15
2020-01-01,제주시,용담1동,서양식 음식점업,여성,84,1998000,2293458.802,144072.378,1567824.136,2020-12-15
2020-01-01,제주시,용담1동,빵 및 과자류 소매업,여성,455,13913300,2293458.802,144072.378,1567824.136,2020-12-15
2020-01-01,제주시,용담1동,비알콜 음료점업,여성,15,168500,2293458.802,144072.378,1567824.136,2020-12-15
2020-01-01,제주시,용담1동,기타 주점업,여성,36,4885020,2293458.802,144072.378,1567824.136,2020-12-15
2020-01-01,제주시,용담1동,기타 외국식 음식점업,여성,1,10000,2293458.802,144072.378,1567824.136,2020-12-15
2020-01-01,제주시,용담1동,관광 민예품 및 선물용품 소매업,여성,12,315600,2293458.802,144072.378,1567824.136,2020-12-15
2020-01-01,제주시,용담2동,빵 및 과자류 소매업,남성,2108,33163680,3282962.828,766166.576,5346450.122,2020-12-15
2020-01-01,제주시,용담2동,슈퍼마켓,남성,7861,153467470,3282962.828,766166.576,5346450.122,2020-12-15
2020-01-01,제주시,용담2동,면세점,여성,33219,3486319771,3636178.7,618877.33,5466426.354,2020-12-15
2020-01-01,제주시,용담2동,여관업,남성,133,8797095,3282962.828,766166.576,5346450.122,2020-12-15
2020-01-01,제주시,용담2동,빵 및 과자류 소매업,여성,2890,40940370,3636178.7,618877.33,5466426.354,2020-12-15
2020-01-01,제주시,용담2동,서양식 음식점업,여성,2822,54725970,3636178.7,618877.33,5466426.354,2020-12-15
2020-01-01,제주시,용담2동,수산물 소매업,여성,511,43455890,3636178.7,618877.33,5466426.354,2020-12-15
2020-01-01,제주시,용담2동,슈퍼마켓,여성,5908,138588610,3636178.7,618877.33,5466426.354,2020-12-15
2020-01-01,제주시,용담2동,기타 외국식 음식점업,여성,42,2563900,3636178.7,618877.33,5466426.354,2020-12-15
2020-01-01,제주시,용담2동,관광 민예품 및 선물용품 소매업,여성,4913,143232150,3636178.7,618877.33,5466426.354,2020-12-15
2020-01-01,제주시,용담2동,비알콜 음료점업,여성,6446,62658290,3636178.7,618877.33,5466426.354,2020-12-15
2020-01-01,제주시,용담2동,스포츠 및 레크레이션 용품 임대업,여성,107,2935000,3636178.7,618877.33,5466426.354,2020-12-15
2020-01-01,제주시,용담2동,일식 음식점업,여성,871,26318400,3636178.7,618877.33,5466426.354,2020-12-15
2020-01-01,제주시,용담2동,자동차 임대업,여성,2719,213255787,3636178.7,618877.33,5466426.354,2020-12-15
2020-01-01,제주시,용담2동,중식 음식점업,여성,209,6322500,3636178.7,618877.33,5466426.354,2020-12-15
2020-01-01,제주시,용담2동,여관업,여성,94,5664025,3636178.7,618877.33,5466426.354,2020-12-15
2020-01-01,제주시,용담2동,여행사업,여성,260,10933270,3636178.7,618877.33,5466426.354,2020-12-15
2020-01-01,제주시,용담2동,택시 운송업,여성,27,150500,3636178.7,618877.33,5466426.354,2020-12-15
2020-01-01,제주시,용담2동,욕탕업,여성,681,10434499,3636178.7,618877.33,5466426.354,2020-12-15
2020-01-01,제주시,용담1동,슈퍼마켓,여성,456,5750970,2293458.802,144072.378,1567824.136,2020-12-15
2020-01-01,제주시,용담1동,과실 및 채소 소매업,여성,157,16140300,2293458.802,144072.378,1567824.136,2020-12-15
2020-01-01,제주시,용담1동,건강보조식품 소매업,여성,3,486000,2293458.802,144072.378,1567824.136,2020-12-15
2020-01-01,제주시,용담2동,여행사업,남성,327,12368040,3282962.828,766166.576,5346450.122,2020-12-15
2020-01-01,제주시,용담2동,욕탕업,남성,1247,16317620,3282962.828,766166.576,5346450.122,2020-12-15
2020-01-01,제주시,용담2동,육류 소매업,남성,319,18631762,3282962.828,766166.576,5346450.122,2020-12-15
2020-01-01,제주시,용담2동,일식 음식점업,남성,808,32765050,3282962.828,766166.576,5346450.122,2020-12-15
2020-01-01,제주시,용담2동,과실 및 채소 소매업,여성,833,43974050,3636178.7,618877.33,5466426.354,2020-12-15
2020-01-01,제주시,용담2동,스포츠 및 레크레이션 용품 임대업,남성,197,10617500,3282962.828,766166.576,5346450.122,2020-12-15
2020-01-01,제주시,용담2동,건강보조식품 소매업,여성,4,272000,3636178.7,618877.33,5466426.354,2020-12-15
2020-01-01,제주시,용담2동,자동차 임대업,남성,4565,399938905,3282962.828,766166.576,5346450.122,2020-12-15
